#p	 replica	 essentials	 correct	 fp	 fn
0.88	2	492	0.7739463601532567	0.18199233716475097	0.044061302681992334
0.9	2	492	0.7739463601532567	0.18199233716475097	0.044061302681992334
0.92	2	492	0.7816091954022989	0.1781609195402299	0.040229885057471264
0.9400000000000001	2	494	0.7739463601532567	0.1839080459770115	0.0421455938697318
0.96	2	497	0.7796934865900383	0.1839080459770115	0.03639846743295019
0.98	2	500	0.7854406130268199	0.1839080459770115	0.03065134099616858
1.0	2	497	0.7873563218390804	0.18007662835249041	0.032567049808429116
0.0	5	200	0.5440613026819924	0.017241379310344827	0.4386973180076628
0.02	5	243	0.5804597701149425	0.040229885057471264	0.3793103448275862
0.04	5	266	0.5823754789272031	0.06130268199233716	0.3563218390804598
0.06	5	292	0.5938697318007663	0.08045977011494253	0.32567049808429116
0.08	5	314	0.6091954022988506	0.09386973180076628	0.29693486590038315
0.1	5	336	0.632183908045977	0.10344827586206896	0.26436781609195403
0.12	5	335	0.6187739463601533	0.10919540229885058	0.2720306513409962
0.14	5	343	0.6264367816091954	0.11302681992337164	0.26053639846743293
0.16	5	367	0.6379310344827587	0.13026819923371646	0.23180076628352492
0.18	5	378	0.6398467432950191	0.13984674329501914	0.22030651340996169
0.2	5	375	0.6340996168582376	0.13984674329501914	0.2260536398467433
0.22	5	386	0.6513409961685823	0.1417624521072797	0.20689655172413793
0.24	5	397	0.6724137931034483	0.1417624521072797	0.18582375478927204
0.26	5	411	0.6724137931034483	0.15517241379310345	0.1724137931034483
0.28	5	409	0.6647509578544061	0.15708812260536398	0.1781609195402299
0.3	5	418	0.6628352490421456	0.16666666666666666	0.17049808429118773
0.32	5	417	0.6609195402298851	0.16666666666666666	0.1724137931034483
0.34	5	422	0.6704980842911877	0.16666666666666666	0.16283524904214558
0.36	5	436	0.6819923371647509	0.1743295019157088	0.14367816091954022
0.38	5	440	0.685823754789272	0.17624521072796934	0.13793103448275862
0.4	5	448	0.6973180076628352	0.1781609195402299	0.12452107279693486
0.42	5	448	0.7049808429118773	0.1743295019157088	0.1206896551724138
0.44	5	448	0.7126436781609196	0.17049808429118773	0.11685823754789272
0.46	5	453	0.710727969348659	0.17624521072796934	0.11302681992337164
0.48	5	461	0.7145593869731801	0.18199233716475097	0.10344827586206896
0.5	5	458	0.7088122605363985	0.18199233716475097	0.10919540229885058
0.52	5	463	0.7145593869731801	0.1839080459770115	0.10153256704980843
0.54	5	473	0.7375478927203065	0.18199233716475097	0.08045977011494253
0.56	5	472	0.735632183908046	0.18199233716475097	0.08237547892720307
0.58	5	469	0.7337164750957854	0.18007662835249041	0.08620689655172414
0.6	5	468	0.7318007662835249	0.18007662835249041	0.08812260536398467
0.62	5	463	0.7260536398467433	0.1781609195402299	0.09578544061302682
0.64	5	474	0.7394636015325671	0.18199233716475097	0.07854406130268199
0.66	5	476	0.7394636015325671	0.1839080459770115	0.07662835249042145
